time,wind_speed,wind_direction,power,density,temperature,pressure
2007-01-10 08:00:00+00:00,9.687075,136.22008,10.350244,1.243602,266.22592,96050.44
2007-01-10 09:00:00+00:00,10.64586,131.59067,12.427857,1.2410873,266.35947,95896.01
2007-01-10 10:00:00+00:00,10.742543,136.24255,12.555027,1.2375113,266.7549,95748.69
2007-01-10 11:00:00+00:00,11.439392,138.79137,13.372002,1.2368389,266.63107,95648.28
2007-01-10 12:00:00+00:00,12.406063,139.69923,13.853798,1.2365943,266.47134,95543.6
2007-01-10 13:00:00+00:00,11.830711,133.86418,13.679721,1.2376251,265.89456,95410.38
2007-01-10 14:00:00+00:00,11.541339,137.26709,13.537792,1.2323927,266.54004,95280.0
2007-01-10 15:00:00+00:00,10.870925,144.79433,12.613739,1.2286096,267.1349,95174.1
2007-01-10 16:00:00+00:00,9.761571,150.07469,10.385335,1.2256926,267.77982,95100.164
2007-01-10 17:00:00+00:00,8.297719,152.05588,6.695019,1.2231811,268.22794,95009.91
2007-01-10 18:00:00+00:00,7.963808,147.23875,5.8703175,1.2201607,268.56516,94884.25
2007-01-10 19:00:00+00:00,5.5187383,151.69104,1.8715261,1.2176292,269.0105,94852.35
2007-01-10 20:00:00+00:00,4.4236684,144.01077,0.80979544,1.2159344,269.2198,94835.04
2007-01-10 21:00:00+00:00,4.1578946,132.89453,0.626382,1.2148703,269.2053,94815.195
2007-01-10 22:00:00+00:00,3.1235492,126.09991,0.23691404,1.2145207,267.02914,94832.98
2007-01-10 23:00:00+00:00,2.3189223,123.38608,0.016641887,1.2144076,264.47916,94880.97
2007-01-11 00:00:00+00:00,2.6126316,137.735,0.055926967,1.2135735,263.59845,94880.21
2007-01-11 01:00:00+00:00,1.2838145,248.07611,0.00019078817,1.2146889,263.11093,94947.43
2007-01-11 02:00:00+00:00,3.6462157,323.72455,0.45436752,1.2176707,262.2103,94997.93
2007-01-11 03:00:00+00:00,6.9101562,344.6814,4.0825324,1.2253484,262.09964,95048.59
2007-01-11 04:00:00+00:00,9.773267,358.2283,10.551688,1.2416042,262.0657,95146.41
